",features,Coefficients"
"595,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,-0.10924962172032503"
"53,poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.109333661357039"
"641,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count^2,-0.1095761491813423"
"528,poly__Contacts_Count_12_mon^2 Months_Inactive_12_mon Total_Trans_Amt,0.10986125243687349"
"850,poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,0.1101051612260545"
"4,poly__Months_Inactive_12_mon,-0.1101615530058833"
"400,poly__Avg_Utilization_Ratio Dependent_count Months_Inactive_12_mon Total_Trans_Ct,-0.11069530148449924"
"784,poly__Dependent_count Total_Revolving_Bal Total_Trans_Amt^2,-0.11074412545945553"
"98,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Trans_Amt,-0.11112799679696432"
"217,poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.11118018408166011"
"114,poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Trans_Ct,-0.11254867371357206"
"90,poly__Avg_Utilization_Ratio Dependent_count Total_Revolving_Bal,0.11262078040641509"
"343,poly__Avg_Utilization_Ratio Contacts_Count_12_mon^2 Months_Inactive_12_mon,-0.11324919999621491"
"702,poly__Dependent_count^2 Total_Revolving_Bal Total_Trans_Amt,-0.11334761462711128"
"443,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Ct,-0.1136394067401125"
"684,poly__Dependent_count^2 Months_Inactive_12_mon Total_Trans_Amt,-0.11494970533567679"
"281,poly__Total_Revolving_Bal Total_Trans_Ct^2,0.11535899439277669"
"874,poly__Months_Inactive_12_mon Total_Trans_Ct^3,-0.11638746935827068"
"399,poly__Avg_Utilization_Ratio Dependent_count Months_Inactive_12_mon Total_Trans_Amt,-0.11693601821203808"
"242,poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal,0.11721746106663959"
"237,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.11734984290951109"
"362,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon Total_Revolving_Bal,0.11796580245472081"
"479,poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,0.11880321049797575"
"900,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2 Total_Trans_Ct,0.1213664051772074"
"844,poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1^2 Total_Trans_Ct,-0.12155511901897224"
"519,poly__Contacts_Count_12_mon^2 Dependent_count Total_Relationship_Count,-0.12205171122918287"
"546,poly__Contacts_Count_12_mon^2 Total_Revolving_Bal Total_Trans_Amt,-0.12269281000908587"
"423,poly__Avg_Utilization_Ratio Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1,0.12295972268640787"
"759,poly__Dependent_count Total_Ct_Chng_Q4_Q1^2 Total_Trans_Amt,-0.1234779077395821"
"270,poly__Total_Relationship_Count Total_Revolving_Bal^2,-0.12397728478992844"
"75,poly__Avg_Utilization_Ratio^2 Total_Trans_Ct,0.12403344942659489"
"698,poly__Dependent_count^2 Total_Relationship_Count Total_Revolving_Bal,0.1242469287458701"
"200,poly__Dependent_count Total_Trans_Amt Total_Trans_Ct,0.12478421536815078"
"881,poly__Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1^2,0.12605531225807592"
"137,poly__Contacts_Count_12_mon Dependent_count Total_Trans_Ct,-0.12720972137788253"
"76,poly__Avg_Utilization_Ratio Contacts_Count_12_mon^2,-0.12851768982194595"
"117,poly__Avg_Utilization_Ratio Total_Revolving_Bal Total_Trans_Ct,0.12886349467751837"
"355,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Dependent_count Total_Revolving_Bal,-0.1293977095499924"
"89,poly__Avg_Utilization_Ratio Dependent_count Total_Relationship_Count,0.12969279621997123"
"573,poly__Contacts_Count_12_mon Dependent_count Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.13062123656450375"
"395,poly__Avg_Utilization_Ratio Dependent_count Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,-0.1313553217015058"
"583,poly__Contacts_Count_12_mon Dependent_count Total_Revolving_Bal Total_Trans_Ct,-0.13156128255294372"
"820,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1,-0.13234355424753871"
"672,poly__Dependent_count^3 Months_Inactive_12_mon,0.13234952017645316"
"788,poly__Dependent_count Total_Trans_Amt^2 Total_Trans_Ct,-0.13411881541134438"
"936,poly__Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count^2,-0.13466021666658223"
"722,poly__Dependent_count Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.13522042548822308"
"228,poly__Months_Inactive_12_mon Total_Trans_Amt Total_Trans_Ct,-0.1357729975920531"
"299,poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1,0.13597843367912416"
"688,poly__Dependent_count^2 Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,-0.13904615584488242"
"953,poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt^2,0.13907159283572157"
"680,poly__Dependent_count^2 Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,-0.14036375562951625"
"280,poly__Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct,-0.14063287297513535"
"837,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt^2,-0.14127088236824667"
"508,poly__Contacts_Count_12_mon^3 Months_Inactive_12_mon,0.1414800970649992"
"776,poly__Dependent_count Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt,-0.14292007864638318"
"793,poly__Months_Inactive_12_mon^3 Total_Ct_Chng_Q4_Q1,-0.14306591213793818"
"344,poly__Avg_Utilization_Ratio Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1,0.14324347582536145"
"683,poly__Dependent_count^2 Months_Inactive_12_mon Total_Revolving_Bal,0.14349053048409222"
"911,poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count^3,0.14363176727948349"
"288,poly__Avg_Utilization_Ratio^3 Dependent_count,0.1440796895113538"
"694,poly__Dependent_count^2 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.14413652554894896"
"101,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,-0.14434775477252315"
"914,poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count^2 Total_Trans_Ct,0.1450606172110978"
"460,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,-0.1455397266065516"
"192,poly__Dependent_count Total_Relationship_Count^2,-0.14565537895414665"
"289,poly__Avg_Utilization_Ratio^3 Months_Inactive_12_mon,0.14586479340467984"
"155,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.1459077783379329"
"125,poly__Contacts_Count_12_mon^2 Total_Ct_Chng_Q4_Q1,0.1480077163264968"
"540,poly__Contacts_Count_12_mon^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.1481376273530757"
"601,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.14836215145382411"
"961,poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct^2,-0.1488669840302256"
"959,poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt^2,-0.14926509546433875"
"24,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1,-0.1498664532361883"
"69,poly__Avg_Utilization_Ratio^2 Months_Inactive_12_mon,-0.15215658468834478"
"848,poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,0.1522336160295854"
"74,poly__Avg_Utilization_Ratio^2 Total_Trans_Amt,-0.15246473862485543"
"464,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,0.1525984152119443"
"897,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count,-0.15376407645104045"
"274,poly__Total_Relationship_Count Total_Trans_Amt Total_Trans_Ct,-0.15430035041773807"
"113,poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Trans_Amt,0.15481334458399584"
"492,poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Revolving_Bal Total_Trans_Ct,-0.15497930480853708"
"418,poly__Avg_Utilization_Ratio Dependent_count Total_Revolving_Bal Total_Trans_Ct,0.15529898070802164"
"725,poly__Dependent_count Months_Inactive_12_mon Total_Relationship_Count^2,0.15559974775004723"
"61,poly__Total_Revolving_Bal Total_Trans_Amt,-0.15575415772639786"
"150,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.1563023870787541"
"556,poly__Contacts_Count_12_mon Dependent_count^2 Total_Revolving_Bal,-0.1567728814496685"
"198,poly__Dependent_count Total_Revolving_Bal Total_Trans_Ct,-0.1571194266981092"
"103,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.15717786147089302"
"894,poly__Total_Amt_Chng_Q4_Q1^2 Total_Trans_Amt Total_Trans_Ct,0.15765435095103003"
"856,poly__Months_Inactive_12_mon Total_Relationship_Count^2 Total_Revolving_Bal,-0.15780549363348872"
"632,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,-0.15856897933711364"
"436,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.15871581710935317"
"642,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal,0.15929686895078815"
"917,poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal Total_Trans_Ct,-0.15940362312658715"
"16,poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1,0.15961492743666147"
"822,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Revolving_Bal,-0.16132875875986508"
"718,poly__Dependent_count Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,-0.1616080255370463"
"527,poly__Contacts_Count_12_mon^2 Months_Inactive_12_mon Total_Revolving_Bal,0.16163936324994227"
"644,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,0.16177591319332002"
"577,poly__Contacts_Count_12_mon Dependent_count Total_Relationship_Count^2,0.16225735297986782"
"194,poly__Dependent_count Total_Relationship_Count Total_Trans_Amt,0.16261374414859017"
"547,poly__Contacts_Count_12_mon^2 Total_Revolving_Bal Total_Trans_Ct,0.16279010446112652"
"703,poly__Dependent_count^2 Total_Revolving_Bal Total_Trans_Ct,-0.16314566998209834"
"368,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.16406510214253803"
"309,poly__Avg_Utilization_Ratio^2 Dependent_count Total_Relationship_Count,0.16439113805023486"
"246,poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,-0.1654850975346882"
"119,poly__Avg_Utilization_Ratio Total_Trans_Amt Total_Trans_Ct,-0.16569783650342318"
"940,poly__Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal^2,0.16586107881938564"
"946,poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count^3,0.16656814721974003"
"554,poly__Contacts_Count_12_mon Dependent_count^2 Total_Ct_Chng_Q4_Q1,-0.16688179206113082"
"306,poly__Avg_Utilization_Ratio^2 Dependent_count Months_Inactive_12_mon,0.16730481588382248"
"633,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt^2,-0.16745704054631788"
"361,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon Total_Relationship_Count,-0.16765300906975544"
"499,poly__Avg_Utilization_Ratio Total_Revolving_Bal Total_Trans_Amt^2,0.16777558146844807"
"386,poly__Avg_Utilization_Ratio Dependent_count^3,-0.1689322852568098"
"732,poly__Dependent_count Months_Inactive_12_mon Total_Trans_Amt^2,0.1691451215030361"
"35,poly__Dependent_count Total_Revolving_Bal,0.16931685639401348"
"689,poly__Dependent_count^2 Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,0.1694418590833138"
"770,poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Trans_Ct^2,0.16975842811292657"
"307,poly__Avg_Utilization_Ratio^2 Dependent_count Total_Amt_Chng_Q4_Q1,0.17127766598810493"
"985,poly__Total_Relationship_Count Total_Trans_Ct^3,0.17134419381912255"
"935,poly__Total_Ct_Chng_Q4_Q1^3 Total_Trans_Ct,-0.17144828050589767"
"758,poly__Dependent_count Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal,-0.17160974077035346"
"824,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Trans_Ct,0.17200402606859816"
"831,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal,0.17261127352830902"
"33,poly__Dependent_count Total_Ct_Chng_Q4_Q1,-0.17403237675989028"
"367,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,-0.17512356518388797"
"587,poly__Contacts_Count_12_mon Months_Inactive_12_mon^3,0.17540644487314944"
"594,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^2,0.1755053905065132"
"352,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Dependent_count Total_Amt_Chng_Q4_Q1,-0.17587378370155182"
"231,poly__Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1,-0.1761610462919066"
"832,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,0.17697705458593216"
"724,poly__Dependent_count Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.1773950473848401"
"54,poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.1786488458333843"
"80,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1,0.1797964383860765"
"523,poly__Contacts_Count_12_mon^2 Months_Inactive_12_mon^2,0.18016234137402168"
"94,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,0.18023002642171615"
"921,poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal^3,0.18030469702868113"
"898,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal,-0.1805270032194819"
"711,poly__Dependent_count Months_Inactive_12_mon^2 Total_Revolving_Bal,-0.18062426110141255"
"461,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Relationship_Count^2,-0.1806539602736156"
"791,poly__Months_Inactive_12_mon^4,-0.1807042813372631"
"769,poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.18074201762807657"
"869,poly__Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct,0.18110756883785034"
"373,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.18132106606032125"
"737,poly__Dependent_count Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count,-0.18136221224150817"
"630,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal^2,-0.18180901570340266"
"232,poly__Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count,-0.182266440768667"
"901,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count^2,0.18242927881113194"
"685,poly__Dependent_count^2 Months_Inactive_12_mon Total_Trans_Ct,-0.18246049612634818"
"525,poly__Contacts_Count_12_mon^2 Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,-0.18336604759033304"
"384,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Trans_Amt Total_Trans_Ct,-0.1834804340929501"
"331,poly__Avg_Utilization_Ratio^2 Total_Relationship_Count^2,0.18371465324030353"
"179,poly__Dependent_count Months_Inactive_12_mon Total_Trans_Amt,0.18411630657043976"
"434,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,-0.18431165784513523"
"302,poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon Total_Revolving_Bal,-0.18445671400495722"
"491,poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt,-0.18532738498820064"
"628,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,-0.18556983652307155"
"708,poly__Dependent_count Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1,-0.1860006342788438"
"797,poly__Months_Inactive_12_mon^3 Total_Trans_Ct,0.18643668070845085"
"563,poly__Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon Total_Revolving_Bal,-0.1872723181305771"
"572,poly__Contacts_Count_12_mon Dependent_count Total_Ct_Chng_Q4_Q1^2,0.1882599962753588"
"818,poly__Months_Inactive_12_mon^2 Total_Trans_Ct^2,-0.18950007174140185"
"351,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon,0.1905083345744832"
"746,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Relationship_Count^2,0.1906076199821721"
"752,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,0.1907639421347102"
"712,poly__Dependent_count Months_Inactive_12_mon^2 Total_Trans_Amt,0.1913301906721212"
"441,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Relationship_Count Total_Revolving_Bal,-0.19155377251353237"
"884,poly__Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.19207526559131563"
"215,poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1^2,-0.19214303832754298"
"318,poly__Avg_Utilization_Ratio^2 Months_Inactive_12_mon Total_Trans_Amt,-0.19238361217198185"
"510,poly__Contacts_Count_12_mon^3 Total_Ct_Chng_Q4_Q1,0.193318380112571"
"314,poly__Avg_Utilization_Ratio^2 Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,0.19389222515504215"
"375,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,-0.19526888328085873"
"446,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Ct,0.19527251159603373"
"526,poly__Contacts_Count_12_mon^2 Months_Inactive_12_mon Total_Relationship_Count,-0.19567173013153155"
"105,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.19601986231119245"
"186,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.1963846441270104"
"544,poly__Contacts_Count_12_mon^2 Total_Relationship_Count Total_Trans_Ct,0.1971533069041195"
"3,poly__Dependent_count,-0.19721551202403415"
"815,poly__Months_Inactive_12_mon^2 Total_Revolving_Bal Total_Trans_Ct,0.19721731476009105"
"203,poly__Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1,0.19805344275276648"
"979,poly__Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt^2,0.19845192574177528"
"383,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Trans_Amt^2,0.19873407290978068"
"447,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Trans_Amt^2,-0.2002848310397867"
"363,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon Total_Trans_Amt,-0.201124283226017"
"886,poly__Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count^2,-0.20171704599573284"
"885,poly__Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.20208346995087587"
"263,poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Amt^2,0.20229220824569988"
"134,poly__Contacts_Count_12_mon Dependent_count Total_Relationship_Count,-0.20247208661791474"
"634,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.2027780810400026"
"5,poly__Total_Amt_Chng_Q4_Q1,0.20300373084652928"
"934,poly__Total_Ct_Chng_Q4_Q1^3 Total_Trans_Amt,-0.2038320414275036"
"701,poly__Dependent_count^2 Total_Revolving_Bal^2,0.20389143188504458"
"800,poly__Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,0.20406997154208734"
"261,poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,-0.2042912700327461"
"326,poly__Avg_Utilization_Ratio^2 Total_Ct_Chng_Q4_Q1^2,-0.2048251745752308"
"171,poly__Dependent_count^2 Total_Revolving_Bal,0.20494523193366734"
"437,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.2052474816707983"
"51,poly__Total_Ct_Chng_Q4_Q1^2,-0.20530602477843427"
"704,poly__Dependent_count^2 Total_Trans_Amt^2,0.20534429748171348"
"728,poly__Dependent_count Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Ct,0.20538760072082102"
"565,poly__Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon Total_Trans_Ct,0.20556999363562284"
"165,poly__Contacts_Count_12_mon Total_Trans_Ct^2,-0.20756734865146056"
"83,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Trans_Amt,-0.20827145318780083"
"182,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,0.20866424793132898"
"266,poly__Total_Relationship_Count^3,0.20866593710106096"
"516,poly__Contacts_Count_12_mon^2 Dependent_count Months_Inactive_12_mon,-0.20945846883270006"
"500,poly__Avg_Utilization_Ratio Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct,-0.2096503671848044"
"906,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,0.2099459513068096"
"379,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Relationship_Count Total_Trans_Ct,0.21059173440754062"
"55,poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.2122432549392725"
"214,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.21236765063807456"
"618,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Revolving_Bal,0.21320969598292636"
"486,poly__Avg_Utilization_Ratio Total_Relationship_Count^3,-0.2134371238992908"
"660,poly__Contacts_Count_12_mon Total_Relationship_Count Total_Trans_Ct^2,-0.21427688747471005"
"292,poly__Avg_Utilization_Ratio^3 Total_Relationship_Count,0.21632751058859415"
"174,poly__Dependent_count Months_Inactive_12_mon^2,0.21738269909217436"
"910,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct^2,-0.21848201349123675"
"983,poly__Total_Relationship_Count Total_Trans_Amt^2 Total_Trans_Ct,0.21877489210270987"
"892,poly__Total_Amt_Chng_Q4_Q1^2 Total_Revolving_Bal Total_Trans_Ct,0.21890484539552896"
"530,poly__Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1^2,0.21955474111227252"
"154,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.22031274502557152"
"739,poly__Dependent_count Total_Amt_Chng_Q4_Q1^2 Total_Trans_Amt,0.22042326946886837"
"699,poly__Dependent_count^2 Total_Relationship_Count Total_Trans_Amt,0.22070525217196663"
"204,poly__Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1,-0.2210193297856796"
"867,poly__Months_Inactive_12_mon Total_Revolving_Bal^2 Total_Trans_Ct,-0.22148078177861852"
"183,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,0.22447389612520724"
"272,poly__Total_Relationship_Count Total_Revolving_Bal Total_Trans_Ct,0.22529156486018492"
"41,poly__Months_Inactive_12_mon Total_Relationship_Count,-0.22536129542141203"
"627,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal,-0.2254223678898026"
"586,poly__Contacts_Count_12_mon Dependent_count Total_Trans_Ct^2,-0.22555104491064837"
"661,poly__Contacts_Count_12_mon Total_Revolving_Bal^3,-0.22569727135405548"
"861,poly__Months_Inactive_12_mon Total_Relationship_Count Total_Revolving_Bal Total_Trans_Ct,-0.22608007945554848"
"305,poly__Avg_Utilization_Ratio^2 Dependent_count^2,-0.22723997003323188"
"679,poly__Dependent_count^2 Months_Inactive_12_mon^2,-0.22802703459481857"
"390,poly__Avg_Utilization_Ratio Dependent_count^2 Total_Relationship_Count,-0.22821229008675767"
"518,poly__Contacts_Count_12_mon^2 Dependent_count Total_Ct_Chng_Q4_Q1,-0.2282357729117829"
"145,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1^2,0.22852340896476026"
"693,poly__Dependent_count^2 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.22897498054837953"
"333,poly__Avg_Utilization_Ratio^2 Total_Relationship_Count Total_Trans_Amt,-0.2289787648189396"
"488,poly__Avg_Utilization_Ratio Total_Relationship_Count^2 Total_Trans_Amt,-0.22900025143934935"
"631,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,0.23027600241018814"
"372,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.23031964275766018"
"120,poly__Avg_Utilization_Ratio Total_Trans_Ct^2,-0.23187125978274783"
"511,poly__Contacts_Count_12_mon^3 Total_Relationship_Count,-0.2335020508924879"
"170,poly__Dependent_count^2 Total_Relationship_Count,-0.2338248956224476"
"188,poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.23419653525347675"
"167,poly__Dependent_count^2 Months_Inactive_12_mon,0.23559308663693107"
"813,poly__Months_Inactive_12_mon^2 Total_Revolving_Bal^2,-0.2365264816511546"
"463,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,0.23682347122809672"
"612,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Trans_Amt^2,0.23699945239230324"
"993,poly__Total_Revolving_Bal Total_Trans_Amt^2 Total_Trans_Ct,0.2370019854619616"
"512,poly__Contacts_Count_12_mon^3 Total_Revolving_Bal,-0.2371851247824448"
"427,poly__Avg_Utilization_Ratio Months_Inactive_12_mon^2 Total_Trans_Amt,-0.23900529438161575"
